"","location","State_Code","date_time_accessed","WeekStart","state_weekly_cases","national_weekly_cases","national_weekly_deaths","national_weekly_rec","epiweek"
"358","South Dakota","SD",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"359","South Dakota","SD",2020-03-19 19:28:58,2020-03-01,0,353,19,0,10
"360","South Dakota","SD",2020-03-19 19:28:58,2020-03-08,9,2825,56,0,11
"361","South Dakota","SD",2020-03-19 19:28:58,2020-03-15,2,11855,170,0,12
"362","Tennessee","TN",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"363","Tennessee","TN",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"364","Tennessee","TN",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"365","Tennessee","TN",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"366","Tennessee","TN",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"367","Tennessee","TN",2020-03-19 19:28:58,2020-03-01,1,353,19,0,10
"368","Tennessee","TN",2020-03-19 19:28:58,2020-03-08,31,2825,56,0,11
"369","Tennessee","TN",2020-03-19 19:28:58,2020-03-15,122,11855,170,0,12
"370","Texas","TX",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"371","Texas","TX",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"372","Texas","TX",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"373","Texas","TX",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"374","Texas","TX",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"375","Texas","TX",2020-03-19 19:28:58,2020-03-01,8,353,19,0,10
"376","Texas","TX",2020-03-19 19:28:58,2020-03-08,43,2825,56,0,11
"377","Texas","TX",2020-03-19 19:28:58,2020-03-15,92,11855,170,0,12
"378","Utah","UT",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"379","Utah","UT",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"380","Utah","UT",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
